WardLabel,area_km2,pop_census_2011,pop_density,pop_density_imputed
TSH_1,15.09431174085445,25350,1679.440602209598,False
TSH_2,15.199544257090505,20808,1368.9884149186369,False
TSH_3,18.266002978882508,34115,1867.6773478817813,False
TSH_4,34.613820316966574,37587,1085.8957392107357,False
TSH_5,13.161588934779891,27437,2084.626722195898,False
TSH_6,2.5444498613694995,17174,6749.592617539902,False
TSH_7,67.77590615405869,42846,632.1715552221239,False
TSH_8,22.09999690327132,29853,1350.8146689188472,False
TSH_9,7.389966643324454,37478,5071.470793965604,False
TSH_10,6.307856807989962,39968,6336.224999491714,False
TSH_11,4.413062872700406,24239,5492.557142102955,False
TSH_12,4.701788323380109,21748,4625.474075865115,False
TSH_13,59.415032160697464,27147,456.9045746971338,False
TSH_14,8.224916922627743,27036,3287.084873236918,False
TSH_15,19.817856394087542,19511,984.5161662298103,False
TSH_16,3.269751194346405,21083,6447.891214614056,False
TSH_17,3.0341320232931133,40771,13437.450871287056,False
TSH_18,2.94448046796618,24578,8347.143160700463,False
TSH_19,9.843940651208447,30473,3095.6098862968174,False
TSH_20,13.863432341316988,27113,1955.7205843747306,False
TSH_21,5.321071866335256,29868,5613.154783524992,False
TSH_22,18.44621347194017,33597,1821.3494087069282,False
TSH_23,9.57723126584845,21469,2241.6708340913237,False
TSH_24,87.55604835865677,47737,545.2164744171005,False
TSH_25,6.371238438459778,25610,4019.6266781362397,False
TSH_26,6.753727079650016,25996,3849.133921672644,False
TSH_27,4.924044326203549,28319,5751.166749108862,False
TSH_28,5.749240104689639,17856,3105.801753771757,False
TSH_29,8.278663722704739,28669,3462.9984935097104,False
TSH_30,21.246768146454443,37769,1777.635061467111,False
TSH_31,66.68009499093951,24334,364.93649271655215,False
TSH_32,29.059882776000347,30886,1062.83980008026,False
TSH_33,8.46978290162518,16993,2006.308803586853,False
TSH_34,3.526909374731836,22149,6280.002587728546,False
TSH_35,6.790840294304015,17841,2627.215370528531,False
TSH_36,10.937980392944459,22661,2071.771861523675,False
TSH_37,30.968895071728316,43637,1409.0589896388158,False
TSH_38,1.7626651486901386,9362,5311.275375789346,False
TSH_39,6.298461512874639,31159,4947.0811143813635,False
TSH_40,3.1256840337379597,62241,19912.76127982997,False
TSH_41,16.324508957941845,18416,1128.1196909166845,False
TSH_42,15.56683061725637,20394,1310.0932682721264,False
TSH_43,8.362014821224543,26157,3128.073862486833,False
TSH_44,9.036037481771384,18094,2002.4263994589953,False
TSH_45,8.316279355030021,11122,1337.3769116200945,False
TSH_46,17.194857745469548,20701,1203.9064414740064,False
TSH_47,13.735185180523057,16408,1194.5961983291702,False
TSH_48,177.18363568224743,35897,202.59771655423046,False
TSH_49,105.23103819378157,35425,336.6402214408009,False
TSH_50,15.018383339276006,20848,1388.1653923081326,False
TSH_51,20.048261695096297,25676,1280.709539335284,False
TSH_52,15.229784432570481,21245,1394.963933604034,False
TSH_53,10.342948140610117,23877,2308.5294130259003,False
TSH_54,10.952609533464562,20831,1901.9211756205716,False
TSH_55,108.6404416060091,25822,237.68312810845327,False
TSH_56,7.255355673800725,19381,2671.26807717853,False
TSH_57,8.84383673624741,28132,3180.9723357621465,False
TSH_58,9.75908053475707,33661,3449.197891145174,False
TSH_59,32.770037941087175,23728,724.0760612684479,False
TSH_60,6.846689150375504,32680,4773.109934194644,False
TSH_61,58.08103644252696,42757,736.1611055668646,False
TSH_62,2.6120168051682273,20279,7763.73259156498,False
TSH_63,2.2331069432255553,17063,7640.923804282198,False
TSH_64,9.111454001527113,35217,3865.135026099841,False
TSH_65,59.60705278528746,21397,358.9675885683334,False
TSH_66,32.503510916943206,23485,722.5373301983171,False
TSH_67,4.6847945107393345,20642,4406.169780271188,False
TSH_68,2.364930151178175,29202,12347.933398985155,False
TSH_69,9.829401220637266,24630,2505.7477507671797,False
TSH_70,34.86930068529167,31207,894.9706299433623,False
