incident_id,date,date_confidence,utility,notice_type,title,affected_areas_raw,region_ward,asset_type,source_url,notes
95233,2025-11-20T12:25:33,confirmed,water,planned_maintenance,Water supply interruption to affect Die Wilgers and nearby areas -19 November 2025,Die Wilgers La Montagne North-west section of Equestria The City of Tshwane apologises for the inconvenience that may arise as a result of the above-mentioned work,TBD,TBD,https://www.tshwane.gov.za/?p=95233,"Tomorrow, 20 November 2025, the City of Tshwane Water and Sanitation Business Unit will carry out a tie-in connection of the pressure-reducing valve chamber to the existing water network on the corner of Simon Vermooten and Furrow Road in Die Wilgers. The said work is anticipated to take eight hours to complete from 08:00 to 16:00 . The following areas will be affected: Die Wilgers La Montagne North-west section of Equestria The City of Tshwane apologises for the inconvenience that may arise as "
95189,2025-11-19T10:58:25,confirmed,unclear,unclassified,Power outage affecting the Pretoria CBD and surrounding areas -19 November 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=95189,The City is aware of a power outage affecting the Pretoria central business district and surrounding areas. A team of technicians has been dispatched to investigate the cause of the outage with a view to restoring this essential service. Areas affected by the blackout include the following: Arcadia Berea Groenkloof Muckleneuk Nana Sita Street and Edmond Street Pretoria Central Sunnyside Union Buildings Unisa Customers will be kept abreast of developments. The City apologises for the inconvenienc
94945,2025-11-14T14:07:26,confirmed,water,planned_maintenance,Continuation of maintenance on a water supply network in Irene Ext 204 and 205 – 13 November 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=94945,"On Tuesday, 18 November 2025, the City of Tshwane Water and Sanitation Business Unit will carry out tie-in connection work on the water supply network in Irene on the corner of Nellmapius and Olievenhoutbosch Road. This scheduled work is a continuation of the tie-in connection that was carried out on Wednesday, 29 October 2025, but could not be completed due to unforeseen circumstances. The work is still anticipated to last for ten hours , from 08:00 until 18:00 , and might result in a water sup"
94939,2025-11-14T13:57:53,confirmed,electricity,planned_maintenance,Planned power supply interruption to affect Soshanguve and Rosslyn – 13 November 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=94939,"Consumers in the K3 Substation supply zone are informed about a planned power supply shutdown to carry out essential maintenance work at the said substation. The shutdown is scheduled for Sunday, 23 November 2025, and is anticipated to last seven hours from 09:00 until 16:00 . The work is necessary to allow the Technical Support and Technology Management Section to carry out repairs on the damaged fibre cable, which has affected the protection inter-trips and Scada communication links on the 132"
94629,2025-11-03T15:36:20,confirmed,water,planned_maintenance,Water supply interruption to affect The Orchards Extension 116 – 31 October 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=94629,"On Wednesday, 5 November 2025 , the City of Tshwane’s Water and Sanitation Business Unit will carry out two tie-in connections along Salie Street in The Orchards, Extension 116. The scheduled work involves the installation of a new T-piece and valve on the existing 315 mm uPVC water pipeline in Salie Street, south of Rachel de Beer Street, while the second tie-in connection will link the existing 160 mm uPVC water pipeline with the newly installed 315 mm water pipeline in Salie Street. This esse"
94150,2025-10-20T13:39:58,confirmed,water,planned_maintenance,Planned water supply interruption to Nellmapius – 19 October 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=94150,"On Wednesday, 22 October 2025, the City of Tshwane Water and Sanitation Business Unit will shut down water supply to Bronberg Direct 1 Reservoir supply zones. On this day, the City’s technicians will carry out a connection of the newly installed infrastructure to the existing infrastructure. This essential work will take 12 hours to complete from 08:00 until 20:00 and will result in a water supply interruption to Nellmapius Ext 3, 4, 6, 7, 8, 13, 14, 15, 16, 17, 18, 19 and 22. The City of Tshwan"
94134,2025-10-20T13:28:56,confirmed,water,planned_maintenance,Planned water supply interruption to Nellmapius – 19 October 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=94134,"On Wednesday, 22 October 2025, the City of Tshwane Water and Sanitation Business Unit will shut down water supply to Bronberg Direct 1 Reservoir supply zones On this day, the City’s technicians will carry out a connection of the newly installed infrastructure to the existing infrastructure. This essential work will take 12 hours to complete from 08:00 until 20:00 and will result in a water supply interruption to Nellmapius Ext 3, 4, 6, 7, 8, 13, 14, 15, 16, 17, 18, 19 and 22. The City of Tshwane"
93422,2025-09-29T10:23:54,confirmed,water,planned_maintenance,Water supply interruption to affect Nellmapius extensions – 26 September 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=93422,"On Wednesday, 1 October 2025 , the City of Tshwane Water and Sanitation Business Unit will replace faulty equipment along the Salvokop Reservoir water supply network. The said work, which is expected to last for 12 hours from 08:00 until 20:00 , will lead to a water supply interruption in Nellmapius Ext 3, 4, 6, 7, 8, 13, 14, 15, 16, 17, 18, 19 and 22. The City of Tshwane apologises for the inconvenience that may arise as a result of the above-mentioned work. Residents are urged to make the foll"
93411,2025-09-29T09:44:30,confirmed,water,planned_maintenance,Water supply interruption to Waverley HL Reservoir supply zone – 26 September 2025,Bergtuin East Lynne Koedoespoort 325-JR Waverley Waverley Ext 1 The City of Tshwane sincerely apologises for the inconvenience that may be encountered during this planned water interruption,TBD,TBD,https://www.tshwane.gov.za/?p=93411,"Customers in the Waverley HL Reservoir supply zone are informed about a water supply shutdown scheduled for Tuesday, 30 September 2025 . On this day, the City’s technicians will connect newly installed water network pipelines to the existing water reticulation system. The said work is anticipated to last for 14 hours , from 08:00 until 22:00 . The following areas will be affected: Bergtuin East Lynne Koedoespoort 325-JR Waverley Waverley Ext 1 The City of Tshwane sincerely apologises for the inc"
93361,2025-09-26T09:46:05,confirmed,electricity,planned_maintenance,Electricity supply interruption in areas supplied by Boom Substation – 25 September 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=93361,"The City of Tshwane’s Energy and Electricity Business Unit will on Saturday, 27 September 2025, switch off parts of the Boom Substation to carry out essential audit and maintenance work. This inevitable exercise is necessitated by the City’s obligation to ensure reliable and safe electricity supply. Unfortunately, the following streets within the Pretoria Central Business District will be without electricity for two hours , from 10:00 to 12:00 : · Bloed Street · Queens Street · Boom Street · Lut"
93017,2025-09-16T14:52:02,confirmed,unclear,planned_maintenance,Downtime for the City of Tshwane’s call centre and email services – 16 September 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=93017,"Customers within the City of Tshwane’s jurisdiction are informed about the scheduled downtime of the call centre line 012 358 9999 and all official customer reporting emails tonight, 16 September 2025. The said downtime, which is necessitated by the need to carry out urgent maintenance on the City’s customer management systems, is anticipated to last for two hours from 21:00 until 23:00. Customers are advised that the following alternative City of Tshwane reporting channels and services will rem"
92976,2025-09-15T09:25:55,confirmed,water,rescheduled,Rescheduled maintenance of a water supply network in Waterkloof Ridge – 12 September 2025,,TBD,TBD,https://www.tshwane.gov.za/?p=92976,"On Tuesday, 16 September 2025, the City of Tshwane will carry out rescheduled upgrading and tie-in connection work to the water supply network at Erf 175, 118 Perseus Avenue, Waterkloof Ridge. This upgrading work was initially scheduled for ten hours on 10 September 2025 and had to be rescheduled due to unforeseen circumstances. The work is still anticipated to last ten hours, from 08:00 until 18:00, and might result in a water supply interruption in the following streets in Waterkloof Ridge: Ea"
92501,2025-08-26T14:17:55,confirmed,water,planned_maintenance,Water supply interruption to affect some parts of Hennopspark – 25 August 2025,", the City will provide roaming tankers until the situation normalises",TBD,TBD,https://www.tshwane.gov.za/?p=92501,"On Tuesday, 2 September 2025, the City of Tshwane’s Water and Sanitation Business Unit will carry out a scheduled tie-in connection to the water supply network along Jakaranda Street in Hennopspark. This unplanned interruption is expected to last eight hours, from 08:00 to 16:00 . The following extensions of Hennopspark will be affected: Hennopspark Ext 7, 15, 20, 21, 22, 23, 25, 31, 35, 40, 49, 54, 56, 61, 64, 71, 75, 77, 81, 84, 85, 86, 90, 91, 92 and 93 The following business amenities will a"
